ckey,lat,long,alt
D10_20190202_211438_9653,31.63178,-95.72225,13
D10_20190202_211438_9653,31.63081,-95.71996,13
D10_20190202_211438_9653,31.62991,-95.71789,13
D10_20190202_211438_9653,31.62907,-95.71583,13
D10_20190202_211438_9653,31.62811,-95.71353,13
D10_20190202_211438_9653,31.62708,-95.71116,13
D10_20190202_211438_9653,31.62605,-95.70856,13
D10_20190202_211438_9653,31.62508,-95.70634,13
D10_20190202_211438_9653,31.62411,-95.70405,13
D10_20190202_211438_9653,31.62308,-95.70153,13
D10_20190202_211438_9653,31.62212,-95.699,13
D10_20190202_211438_9653,31.62102,-95.6964,13
D10_20190202_211438_9653,31.62012,-95.69403,13
D10_20190202_211438_9653,31.61915,-95.69159,13
D10_20190202_211438_9653,31.61806,-95.68883,13
D10_20190202_211438_9653,31.61703,-95.68616,13
D10_20190202_211438_9653,31.61593,-95.68356,13
D10_20190202_211438_9653,31.61503,-95.68126,13
D10_20190202_211438_9653,31.61413,-95.67905,13
D10_20190202_211438_9653,31.61322,-95.67698,13
D10_20190202_211438_9653,31.61238,-95.67477,13
D10_20190202_211438_9653,31.61142,-95.67255,13
D10_20190202_211438_9653,31.61032,-95.66995,13
D10_20190202_211438_9653,31.60929,-95.66735,13
D10_20190202_211438_9653,31.60832,-95.6649,13
D10_20190202_211438_9653,31.60729,-95.66246,13
D10_20190202_211438_9653,31.60639,-95.66009,13
D10_20190202_211438_9653,31.60536,-95.65764,13
D10_20190202_211438_9653,31.60445,-95.65527,13
D10_20190202_211438_9653,31.60329,-95.65252,13
D10_20190202_211438_9653,31.60213,-95.64977,13
D10_20190202_211438_9653,31.60123,-95.64755,13
D10_20190202_211438_9653,31.60026,-95.64511,13
D10_20190202_211438_9653,31.59936,-95.64289,13
D10_20190202_211438_9653,31.59845,-95.64067,13
D10_20190202_211438_9653,31.59749,-95.63838,13
D10_20190202_211438_9653,31.59646,-95.63571,13
D10_20190202_211438_9653,31.59562,-95.63357,13
D10_20190202_211438_9653,31.59484,-95.63166,13
D10_20190202_211438_9653,31.59387,-95.62921,13
D10_20190202_211438_9653,31.59297,-95.62684,13
D10_20190202_211438_9653,31.59194,-95.62432,13
D10_20190202_211438_9653,31.59104,-95.62211,13
D10_20190202_211438_9653,31.5902,-95.61997,13
D10_20190202_211438_9653,31.58929,-95.6176,13
D10_20190202_211438_9653,31.58813,-95.61485,13
D10_20190202_211438_9653,31.58723,-95.61271,13
D10_20190202_211438_9653,31.58626,-95.61026,13
D10_20190202_211438_9653,31.58549,-95.60835,13
D10_20190202_211438_9653,31.58445,-95.60591,13
D10_20190202_211438_9653,31.58355,-95.60369,13
D10_20190202_211438_9653,31.58258,-95.60132,13
D10_20190202_211438_9653,31.58161,-95.59903,13
D10_20190202_211438_9653,31.58064,-95.59659,13
D10_20190202_211438_9653,31.57968,-95.59422,13
D10_20190202_211438_9653,31.57877,-95.59185,13
D10_20190202_211438_9653,31.5778,-95.58941,13
D10_20190202_211438_9653,31.57684,-95.58696,13
D10_20190202_211438_9653,31.576,-95.5849,13
D10_20190202_211438_9653,31.57509,-95.58268,13
D10_20190202_211438_9653,31.57419,-95.58047,13
D10_20190202_211438_9653,31.57322,-95.57795,13
D10_20190202_211438_9653,31.57232,-95.57581,13
D10_20190202_211438_9653,31.57128,-95.57321,13
D10_20190202_211438_9653,31.57038,-95.571,13
D10_20190202_211438_9653,31.56941,-95.56848,13
D10_20190202_211438_9653,31.56825,-95.5658,13
D10_20190202_211438_9653,31.56721,-95.56321,13
D10_20190202_211438_9653,31.56618,-95.56069,13
D10_20190202_211438_9653,31.56508,-95.55794,13
D10_20190202_211438_9653,31.56411,-95.55565,13
D10_20190202_211438_9653,31.56321,-95.55343,13
D10_20190202_211438_9653,31.5623,-95.55114,13
D10_20190202_211438_9653,31.56133,-95.54885,13
